website,mean_response
english_0,2.235651214128035
english_1,4.181764705882353
english_10,3.9167585446527013
english_100,4.953846153846154
english_101,4.857688113413304
english_102,4.885321100917431
english_103,5.142398286937902
english_104,4.468527315914489
english_105,2.263917525773196
english_106,5.39
english_107,4.446467991169978
english_108,4.580552359033372
english_109,3.7857142857142856
english_11,3.9875406283856987
english_111,5.798679867986799
english_112,4.510240963855422
english_113,5.143982002249719
english_114,2.922028353326063
english_115,3.8757159221076747
english_116,1.9425287356321839
english_117,3.5074626865671643
english_118,5.627753303964758
english_119,3.779008438818565
english_12,2.165137614678899
english_120,6.105726872246696
english_121,5.5741127348643005
english_122,4.654370034052214
english_123,4.6923076923076925
english_124,6.1266519823788546
english_125,4.641386782231852
english_128,3.8821961620469083
english_129,4.758408071748879
english_13,4.458115183246074
english_130,5.757203842049093
english_131,3.5375854214123006
english_132,4.008762322015334
english_133,4.92128121606949
english_134,3.436111111111111
english_135,5.66193853427896
english_136,4.330023364485982
english_137,3.6164079822616406
english_138,1.7425
english_139,3.5813953488372094
english_14,2.8623655913978494
english_140,3.6038283062645013
english_141,3.2814606741573034
english_142,6.16006600660066
english_143,4.483634311512415
english_144,3.7626931567328916
english_145,4.340269277845778
english_146,4.2431466030989275
english_147,4.053430821147357
english_148,4.439181916038751
english_149,5.229007633587786
english_15,3.889007470651014
english_150,4.992441860465116
english_151,4.3919821826280625
english_152,4.900440044004401
english_153,4.160954712362301
english_154,4.197152245345016
english_155,4.228710462287105
english_156,3.373644251626898
english_157,3.750836120401338
english_158,5.449267192784667
english_159,3.2714446952595937
english_16,2.1003253796095445
english_160,3.8394854586129754
english_161,4.595588235294118
english_162,4.2713950762016415
english_163,2.692510548523207
english_164,3.8472222222222223
english_165,5.01827242524917
english_166,3.4172043010752686
english_167,4.611650485436893
english_168,3.6555806087936866
english_169,4.26330690826727
english_17,4.934331797235023
english_170,5.676600441501104
english_171,4.412459720730397
english_172,5.196868008948546
english_173,4.3887043189368775
english_174,4.535194174757281
english_175,4.34113712374582
english_176,3.8226164079822618
english_177,5.0936768149882905
english_178,5.077929465301479
english_179,3.397577092511013
english_18,2.9574353448275863
english_180,3.517505470459519
english_181,5.534502923976608
english_182,5.884361233480176
english_183,4.183957219251337
english_184,4.897377423033067
english_185,5.2536764705882355
english_186,3.6958333333333333
english_187,4.447104677060134
english_188,3.082072176949942
english_189,3.1548423423423424
english_19,3.8976377952755907
english_190,3.7351973684210527
english_191,4.414798206278027
english_192,4.582766439909297
english_193,4.080110497237569
english_194,3.1283704572098476
english_195,4.8552188552188555
english_196,4.784378437843785
english_197,4.1398559423769505
english_198,4.855371900826446
english_199,3.6298557158712543
english_2,3.938908659549229
english_20,4.189057421451787
english_200,5.273318872017353
english_201,5.106139438085328
english_202,4.28680479825518
english_203,5.2956756756756755
english_204,3.0915570175438596
english_205,4.923289183222958
english_206,3.759927797833935
english_207,5.309625668449198
english_208,4.73396017699115
english_209,4.350867052023121
english_21,4.240068104426788
english_210,4.454739084132055
english_211,5.014253135689851
english_212,5.266739846322722
english_213,3.2353279631760645
english_214,3.960772833723653
english_215,4.320799059929494
english_216,5.432860262008734
english_217,5.2786697247706424
english_218,4.015410958904109
english_219,4.958959537572254
english_22,3.65171650055371
english_220,3.6400862068965516
english_221,4.69811320754717
english_222,2.81505376344086
english_223,2.4002145922746783
english_224,4.987425149700599
english_225,4.512931034482759
english_226,5.142451759364358
english_227,4.823458282950424
english_228,5.577726218097448
english_229,3.764837625979843
english_23,3.801321138211382
english_230,6.014254385964913
english_231,5.568530701754386
english_232,5.302980132450331
english_233,5.636871508379889
english_234,4.27497062279671
english_235,5.657502863688431
english_236,2.4542025862068964
english_237,4.087690631808279
english_238,3.1606538895152196
english_239,3.7308934337997846
english_24,3.7894444444444444
english_240,4.985005767012687
english_241,5.432494279176201
english_242,6.235619469026549
english_243,4.890857142857143
english_244,4.635011441647597
english_245,4.619662921348315
english_246,1.8366701791359326
english_247,4.2547806524184475
english_248,4.664861612515042
english_249,4.2441025641025645
english_25,3.937777777777778
english_250,6.253871681415929
english_251,4.441466083150985
english_252,4.122047244094488
english_253,5.060622914349277
english_254,4.26006528835691
english_255,4.660443407234539
english_256,4.042586750788644
english_257,5.282065834279228
english_258,5.888580931263858
english_259,3.8350877192982455
english_26,4.551587301587301
english_260,5.195121951219512
english_261,4.976948408342481
english_262,4.4949267192784665
english_263,5.259933774834437
english_264,3.9994337485843716
english_265,5.961134453781512
english_266,5.9363636363636365
english_267,5.154347826086957
english_268,5.911308203991131
english_269,6.640314136125655
english_27,5.091533180778032
english_270,6.143174250832408
english_271,4.434782608695652
english_272,6.715948777648428
english_273,3.5548016701461376
english_274,5.536177105831533
english_275,3.541436464088398
english_276,5.876637554585153
english_277,4.7397186147186146
english_278,4.502923976608187
english_279,4.631190727081138
english_28,5.025700934579439
english_280,4.544086021505376
english_281,5.087248322147651
english_282,5.743756786102063
english_283,5.4575268817204305
english_284,2.624263839811543
english_286,6.6560364464692485
english_287,4.136158192090395
english_288,5.320484581497797
english_289,4.603613177470776
english_29,4.157632743362832
english_290,4.175489067894131
english_291,3.984478935698448
english_292,2.643162393162393
english_293,3.6466083150984683
english_294,5.413921360255048
english_295,5.271241830065359
english_297,5.961621621621622
english_298,6.246887966804979
english_299,6.360244988864142
english_3,4.591212458286986
english_30,3.0055555555555555
english_300,3.9319429198682765
english_302,6.030711206896552
english_303,3.3992117117117115
english_304,3.305526036131775
english_305,3.035632183908046
english_306,5.368125701459035
english_307,2.287862513426423
english_308,1.892075078206465
english_309,1.4869281045751634
english_310,5.399671052631579
english_311,2.464039408866995
english_312,2.443894389438944
english_313,2.384782608695652
english_314,2.9968421052631578
english_315,3.502744237102086
english_316,4.538205980066445
english_317,4.4178321678321675
english_318,4.5131856540084385
english_319,4.133592017738359
english_32,5.2898550724637685
english_320,4.819460067491564
english_321,5.297149122807017
english_322,5.194760820045558
english_323,2.496268656716418
english_324,4.224235560588902
english_325,5.181130171543895
english_326,4.255651237890205
english_327,3.8410064239828694
english_328,5.5893258426966295
english_329,5.011111111111111
english_33,3.6210227272727273
english_330,5.515855039637599
english_331,5.3028571428571425
english_332,4.5887640449438205
english_333,2.6581521739130434
english_334,6.480171489817792
english_335,5.935430463576159
english_336,4.926940639269406
english_337,5.366666666666666
english_338,5.400696864111498
english_339,6.233405875952122
english_34,2.807819383259912
english_340,4.97838785046729
english_341,7.033333333333333
english_342,5.983940042826553
english_343,5.3590182648401825
english_344,5.602820211515864
english_345,5.804571428571428
english_346,6.255112474437627
english_347,4.111050328227571
english_348,3.362850971922246
english_349,5.437288135593221
english_35,3.3134078212290503
english_36,4.594827586206897
english_37,5.747422680412371
english_38,2.4079915878023135
english_39,4.277840269966254
english_4,2.0982142857142856
english_40,4.605747126436782
english_41,4.287862513426423
english_42,4.385371179039302
english_43,4.923728813559322
english_44,4.850521436848204
english_45,6.035441657579062
english_46,4.904171364148816
english_47,2.7939590075512406
english_48,2.5822851153039834
english_49,4.241621621621622
english_5,4.517524644030668
english_50,5.276515151515151
english_51,4.550165380374862
english_52,3.4667049368541907
english_54,2.5339643652561246
english_55,2.683371298405467
english_56,2.6280276816608996
english_57,3.61271676300578
english_58,5.079911209766926
english_59,3.0335164835164834
english_60,5.476940382452193
english_61,4.241438356164384
english_62,3.2864238410596025
english_63,3.6786922209695603
english_64,5.222400857449089
english_65,3.8567351598173514
english_66,4.251303441084463
english_67,5.583144796380091
english_68,2.0464759959141983
english_69,4.479213483146068
english_7,3.8114478114478114
english_70,4.180703624733476
english_71,5.971383975026015
english_72,3.360066371681416
english_73,5.110403397027601
english_74,5.170454545454546
english_75,2.308903365906623
english_76,3.896495071193866
english_77,3.868181818181818
english_78,3.3333333333333335
english_79,2.426630434782609
english_8,4.775028768699655
english_80,3.247457627118644
english_81,3.486159169550173
english_82,3.64
english_83,4.1743421052631575
english_85,4.245348837209303
english_86,4.90228013029316
english_87,2.1668404588112615
english_88,5.603407755581669
english_89,4.401393354769561
english_9,2.8512486427795873
english_90,4.505313496280553
english_91,4.307604994324631
english_92,4.151202749140894
english_93,5.260554885404101
english_94,4.8717672413793105
english_95,3.882803943044907
english_96,3.9418202764976957
english_97,3.735091743119266
english_98,4.06442731277533
english_99,4.807428571428572
foreign_0,4.8108945969884855
foreign_1,5.59433962264151
foreign_10,3.820258620689655
foreign_11,2.6302904564315353
foreign_12,4.818141592920354
foreign_13,4.414198606271777
foreign_14,4.173855633802817
foreign_15,4.127937336814622
foreign_16,5.487826086956522
foreign_17,4.017316017316017
foreign_18,5.15091066782307
foreign_19,5.224754244861484
foreign_2,3.3366425992779782
foreign_20,4.206233988044406
foreign_21,2.580273270708796
foreign_22,3.1546345811051695
foreign_23,4.433362753751103
foreign_24,4.42490494296578
foreign_25,4.519981834695731
foreign_26,2.685490519373454
foreign_27,3.8102222222222224
foreign_28,3.6514629948364887
foreign_29,4.564248251748252
foreign_3,4.421209540034072
foreign_30,3.4785775492716366
foreign_31,5.003514938488577
foreign_32,3.3026427962489344
foreign_33,2.416454622561493
foreign_34,4.0211442786069655
foreign_35,4.779638009049774
foreign_36,2.8665780141843973
foreign_37,4.251563896336014
foreign_38,3.674757281553398
foreign_39,4.059410646387833
foreign_4,3.2745183887915936
foreign_40,4.153169014084507
foreign_41,4.880671506352087
foreign_42,3.8708838821490468
foreign_43,4.120658949243099
foreign_44,4.651747655583972
foreign_46,2.6881057268722466
foreign_47,3.2693661971830985
foreign_48,4.439338235294118
foreign_49,4.45544982698962
foreign_5,4.618968386023295
foreign_50,3.68013468013468
foreign_51,4.355193661971831
foreign_52,4.463908450704225
foreign_53,4.446020128087832
foreign_54,2.834172963895886
foreign_55,3.2810314685314683
foreign_57,4.111853832442068
foreign_58,4.995689655172414
foreign_59,3.2083700440528635
foreign_6,4.3654529307282415
foreign_7,5.556499575191164
foreign_8,4.361363636363636
foreign_9,3.6328125
